" ",球队,时间,果,场,比赛,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
860,洛杉矶快船,2017-10-21,胜,主,太阳88-130快船,54.5%,48,88,46.2%,12,26,73.3%,22,30,52,10,42,26,12,2,12,32,130
861,洛杉矶快船,2017-10-24,胜,主,爵士84-102快船,47.0%,39,83,34.5%,10,29,66.7%,14,21,44,11,33,21,12,4,13,16,102
862,洛杉矶快船,2017-10-26,胜,客,开拓者103-104快船,46.8%,36,77,32.1%,9,28,63.9%,23,36,46,14,32,11,4,5,11,19,104
863,洛杉矶快船,2017-10-28,负,主,活塞95-87快船,33.3%,28,84,39.5%,15,38,72.7%,16,22,51,15,36,19,6,6,18,18,87
864,洛杉矶快船,2017-10-30,负,主,勇士141-113快船,45.3%,39,86,40.0%,10,25,83.3%,25,30,35,9,26,21,4,3,13,20,113
865,洛杉矶快船,2017-11-01,胜,主,独行侠98-119快船,53.2%,41,77,46.4%,13,28,82.8%,24,29,48,6,42,27,9,5,16,20,119
866,洛杉矶快船,2017-11-04,负,主,灰熊113-104快船,45.8%,38,83,15.4%,4,26,77.4%,24,31,43,15,28,18,7,7,13,22,104
867,洛杉矶快船,2017-11-05,负,主,热火104-101快船,39.1%,34,87,29.0%,9,31,80.0%,24,30,50,18,32,16,11,4,15,22,101
868,洛杉矶快船,2017-11-07,负,客,马刺120-107快船,51.2%,42,82,36.7%,11,30,70.6%,12,17,39,10,29,20,6,4,17,19,107
869,洛杉矶快船,2017-11-10,负,客,雷霆120-111快船,46.4%,39,84,40.0%,12,30,70.0%,21,30,46,16,30,13,4,2,18,30,111
870,洛杉矶快船,2017-11-11,负,客,鹈鹕111-103快船,40.7%,35,86,38.5%,10,26,85.2%,23,27,37,8,29,16,12,1,11,24,103
871,洛杉矶快船,2017-11-13,负,主," 76人109-105快船",43.9%,36,82,37.5%,12,32,65.6%,21,32,34,9,25,16,8,4,15,26,105
872,洛杉矶快船,2017-11-17,负,客,骑士118-113快船,44.7%,46,103,28.6%,10,35,78.6%,11,14,55,13,42,29,7,10,15,26,113
873,洛杉矶快船,2017-11-18,负,客,黄蜂102-87快船,39.8%,33,83,27.6%,8,29,68.4%,13,19,44,7,37,18,5,6,14,22,87
874,洛杉矶快船,2017-11-20,负,客,尼克斯107-85快船,37.5%,30,80,31.3%,10,32,71.4%,15,21,36,10,26,20,12,3,21,23,85
875,洛杉矶快船,2017-11-22,胜,客,老鹰103-116快船,57.9%,44,76,50.0%,15,30,68.4%,13,19,33,6,27,30,7,4,15,15,116
876,洛杉矶快船,2017-11-25,胜,客,国王95-97快船,47.5%,38,80,32.1%,9,28,92.3%,12,13,37,6,31,23,11,5,16,13,97
877,洛杉矶快船,2017-11-27,胜,主,湖人115-120快船,48.2%,41,85,35.7%,10,28,93.3%,28,30,44,10,34,19,7,3,17,22,120
878,洛杉矶快船,2017-11-30,负,主,爵士126-107快船,54.3%,38,70,34.5%,10,29,70.0%,21,30,36,10,26,23,8,6,19,16,107
879,洛杉矶快船,2017-12-02,负,客,独行侠108-82快船,34.9%,30,86,27.3%,6,22,69.6%,16,23,38,11,27,16,8,6,10,20,82
880,洛杉矶快船,2017-12-03,负,客,森林狼112-106快船,50.7%,37,73,44.1%,15,34,77.3%,17,22,37,8,29,21,3,7,16,26,106
881,洛杉矶快船,2017-12-06,负,主,森林狼113-107快船,44.4%,44,99,31.3%,10,32,60.0%,9,15,43,17,26,23,6,3,9,17,107
882,洛杉矶快船,2017-12-09,胜,主,奇才112-113快船,48.8%,39,80,43.8%,14,32,87.5%,21,24,33,4,29,22,8,4,10,19,113
883,洛杉矶快船,2017-12-11,胜,主,猛龙91-96快船,37.4%,34,91,22.2%,8,36,83.3%,20,24,57,14,43,18,6,7,13,20,96
884,洛杉矶快船,2017-12-13,胜,客,魔术95-106快船,44.3%,39,88,46.2%,12,26,80.0%,16,20,51,6,45,25,10,6,8,19,106
885,洛杉矶快船,2017-12-15,负,客,奇才100-91快船,38.8%,33,85,29.2%,7,24,62.1%,18,29,47,12,35,17,12,6,21,20,91
886,洛杉矶快船,2017-12-16,负,客,热火90-85快船,43.8%,35,80,28.6%,8,28,50.0%,7,14,46,12,34,18,3,5,17,22,85
887,洛杉矶快船,2017-12-18,负,客,马刺109-91快船,44.0%,37,84,31.0%,9,29,50.0%,8,16,43,8,35,21,12,4,17,23,91
888,洛杉矶快船,2017-12-20,胜,主,太阳95-108快船,47.1%,41,87,33.3%,10,30,66.7%,16,24,50,9,41,22,1,4,9,19,108
