" ",球队,时间,果,场,比赛,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
2211,克里夫兰骑士,2018-02-13,胜,客,雷霆112-120骑士,51.1%,45,88,44.4%,16,36,63.6%,14,22,41,10,31,24,6,4,7,28,120
2212,克里夫兰骑士,2018-02-22,负,主,奇才110-103骑士,50.0%,42,84,22.9%,8,35,57.9%,11,19,36,6,30,20,5,2,13,15,103
2213,克里夫兰骑士,2018-02-23,胜,客,灰熊89-112骑士,46.0%,40,87,37.9%,11,29,95.5%,21,22,46,7,39,26,13,9,18,23,112
2214,克里夫兰骑士,2018-02-25,负,主,马刺110-94骑士,41.8%,38,91,23.5%,8,34,71.4%,10,14,47,13,34,18,8,3,15,24,94
2215,克里夫兰骑士,2018-02-27,胜,主,篮网123-129骑士,51.5%,50,97,50.0%,12,24,63.0%,17,27,55,14,41,24,7,1,11,24,129
2216,克里夫兰骑士,2018-03-01,负,主," 76人108-97骑士",41.4%,36,87,28.1%,9,32,69.6%,16,23,45,10,35,23,4,6,9,21,97
2217,克里夫兰骑士,2018-03-03,负,主,掘金126-117骑士,52.3%,46,88,37.5%,9,24,76.2%,16,21,41,12,29,25,5,2,9,16,117
2218,克里夫兰骑士,2018-03-05,胜,主,活塞90-112骑士,48.9%,43,88,36.4%,12,33,82.4%,14,17,53,11,42,29,8,2,14,18,112
2219,克里夫兰骑士,2018-03-07,胜,客,掘金108-113骑士,50.6%,44,87,44.8%,13,29,66.7%,12,18,35,7,28,25,10,4,10,19,113
2220,克里夫兰骑士,2018-03-09,负,客,快船116-102骑士,44.8%,39,87,33.3%,12,36,66.7%,12,18,40,8,32,22,10,7,12,28,102
2221,克里夫兰骑士,2018-03-11,负,客,湖人127-113骑士,46.6%,41,88,38.7%,12,31,82.6%,19,23,37,7,30,22,4,5,12,18,113
2222,克里夫兰骑士,2018-03-13,胜,客,太阳107-129骑士,49.4%,43,87,48.6%,17,35,86.7%,26,30,44,5,39,25,12,9,19,25,129
2223,克里夫兰骑士,2018-03-15,负,客,开拓者113-105骑士,51.2%,41,80,33.3%,11,33,57.1%,12,21,34,2,32,17,5,7,11,21,105
2224,克里夫兰骑士,2018-03-17,胜,客,公牛109-114骑士,50.6%,44,87,35.1%,13,37,65.0%,13,20,44,11,33,25,4,5,13,14,114
2225,克里夫兰骑士,2018-03-19,胜,主,雄鹿117-124骑士,49.4%,43,87,39.5%,15,38,85.2%,23,27,42,12,30,24,4,6,13,17,124
2226,克里夫兰骑士,2018-03-21,胜,主,猛龙129-132骑士,60.3%,47,78,62.5%,15,24,82.1%,23,28,32,4,28,28,4,3,9,18,132
2227,克里夫兰骑士,2018-03-23,胜,主,太阳95-120骑士,49.5%,47,95,27.6%,8,29,75.0%,18,24,54,15,39,23,9,4,14,14,120
2228,克里夫兰骑士,2018-03-25,胜,客,篮网114-121骑士,50.6%,44,87,42.9%,12,28,80.8%,21,26,49,11,38,25,5,2,11,21,121
2229,克里夫兰骑士,2018-03-27,负,客,热火98-79骑士,36.5%,31,85,15.4%,4,26,68.4%,13,19,42,12,30,15,8,1,14,18,79
2230,克里夫兰骑士,2018-03-28,胜,客,黄蜂105-118骑士,48.4%,45,93,39.3%,11,28,85.0%,17,20,38,11,27,22,9,1,6,19,118
2231,克里夫兰骑士,2018-03-30,胜,主,鹈鹕102-107骑士,47.8%,43,90,41.7%,10,24,73.3%,11,15,45,9,36,22,6,2,10,14,107
2232,克里夫兰骑士,2018-04-01,胜,主,独行侠87-98骑士,41.2%,35,85,42.3%,11,26,73.9%,17,23,50,10,40,21,7,1,11,12,98
2233,克里夫兰骑士,2018-04-03,胜,主,猛龙106-112骑士,49.4%,38,77,43.3%,13,30,88.5%,23,26,42,2,40,18,8,6,12,17,112
2234,克里夫兰骑士,2018-04-05,胜,主,奇才115-119骑士,54.5%,42,77,48.1%,13,27,78.6%,22,28,35,5,30,26,10,3,16,14,119
2235,克里夫兰骑士,2018-04-06,负,客," 76人132-130骑士",51.7%,45,87,47.1%,16,34,72.7%,24,33,40,8,32,24,6,2,14,20,130
