" ",球队,时间,果,场,比赛,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
2474,亚特兰大老鹰,2018-01-12,负,主,篮网110-105老鹰,46.3%,37,80,39.3%,11,28,76.9%,20,26,46,8,38,21,6,3,18,25,105
2475,亚特兰大老鹰,2018-01-15,胜,主,马刺99-102老鹰,46.5%,40,86,36.0%,9,25,92.9%,13,14,50,11,39,24,8,2,15,23,102
2476,亚特兰大老鹰,2018-01-17,胜,主,鹈鹕93-94老鹰,41.6%,37,89,25.0%,10,40,76.9%,10,13,43,12,31,32,5,3,10,22,94
2477,亚特兰大老鹰,2018-01-20,负,主,公牛113-97老鹰,38.0%,35,92,22.9%,11,48,69.6%,16,23,45,9,36,27,5,4,13,21,97
2478,亚特兰大老鹰,2018-01-22,胜,主,爵士90-104老鹰,48.2%,40,83,46.2%,12,26,100.0%,12,12,44,10,34,24,8,5,17,24,104
2479,亚特兰大老鹰,2018-01-24,负,主,猛龙108-93老鹰,39.4%,37,94,33.3%,7,21,70.6%,12,17,47,12,35,19,8,9,16,21,93
2480,亚特兰大老鹰,2018-01-26,负,客,黄蜂121-110老鹰,46.8%,37,79,50.0%,15,30,84.0%,21,25,39,6,33,23,6,5,20,26,110
2481,亚特兰大老鹰,2018-01-27,负,主,奇才129-104老鹰,42.7%,38,89,27.9%,12,43,76.2%,16,21,32,11,21,24,2,4,11,15,104
2482,亚特兰大老鹰,2018-01-29,胜,主,森林狼100-105老鹰,49.4%,39,79,38.2%,13,34,87.5%,14,16,44,8,36,27,8,8,21,18,105
2483,亚特兰大老鹰,2018-01-31,负,主,黄蜂123-110老鹰,50.6%,39,77,37.5%,12,32,90.9%,20,22,29,4,25,26,5,4,9,16,110
2484,亚特兰大老鹰,2018-02-02,负,客,凯尔特119-110老鹰,42.5%,34,80,35.5%,11,31,91.2%,31,34,36,4,32,21,6,4,12,18,110
2485,亚特兰大老鹰,2018-02-04,胜,客,尼克斯96-99老鹰,40.2%,35,87,45.5%,15,33,73.7%,14,19,44,13,31,25,6,3,16,12,99
2486,亚特兰大老鹰,2018-02-06,胜,主,灰熊82-108老鹰,50.6%,42,83,32.0%,8,25,76.2%,16,21,36,8,28,29,13,5,13,16,108
2487,亚特兰大老鹰,2018-02-08,负,客,魔术100-98老鹰,42.5%,37,87,40.0%,12,30,66.7%,12,18,46,9,37,25,4,7,17,23,98
2488,亚特兰大老鹰,2018-02-09,负,主,骑士123-107老鹰,43.5%,37,85,36.4%,16,44,89.5%,17,19,42,6,36,20,4,4,11,18,107
2489,亚特兰大老鹰,2018-02-11,胜,主,活塞115-118老鹰,48.7%,38,78,34.5%,10,29,86.5%,32,37,35,4,31,27,10,3,13,26,118
2490,亚特兰大老鹰,2018-02-13,负,客,雄鹿97-92老鹰,38.4%,33,86,34.3%,12,35,70.0%,14,20,50,14,36,21,7,6,12,14,92
2491,亚特兰大老鹰,2018-02-14,负,客,活塞104-98老鹰,42.7%,38,89,18.2%,6,33,84.2%,16,19,43,8,35,25,9,4,11,21,98
2492,亚特兰大老鹰,2018-02-23,负,客,步行者116-93老鹰,45.1%,37,82,22.6%,7,31,63.2%,12,19,40,6,34,14,9,7,22,20,93
2493,亚特兰大老鹰,2018-02-26,负,主,湖人123-104老鹰,37.5%,36,96,22.2%,8,36,70.6%,24,34,41,8,33,21,14,3,11,17,104
2494,亚特兰大老鹰,2018-02-28,胜,主,步行者102-107老鹰,43.7%,38,87,31.0%,9,29,81.5%,22,27,49,15,34,21,13,11,21,23,107
2495,亚特兰大老鹰,2018-03-02,负,主,勇士114-109老鹰,44.2%,38,86,42.9%,15,35,90.0%,18,20,35,3,32,21,10,2,19,21,109
2496,亚特兰大老鹰,2018-03-04,胜,主,太阳112-113老鹰,45.7%,43,94,51.5%,17,33,83.3%,10,12,49,9,40,23,7,5,16,18,113
2497,亚特兰大老鹰,2018-03-06,负,客,猛龙106-90老鹰,42.5%,34,80,28.6%,6,21,76.2%,16,21,44,12,32,22,8,6,21,25,90
2498,亚特兰大老鹰,2018-03-09,负,客,步行者112-87老鹰,41.5%,34,82,30.3%,10,33,90.0%,9,10,35,6,29,21,11,4,18,13,87
2499,亚特兰大老鹰,2018-03-11,负,主,公牛129-122老鹰,51.2%,42,82,47.5%,19,40,86.4%,19,22,42,5,37,32,2,5,15,14,122
2500,亚特兰大老鹰,2018-03-13,负,主,雷霆119-107老鹰,42.5%,37,87,41.9%,13,31,83.3%,20,24,47,13,34,26,5,5,15,25,107
2501,亚特兰大老鹰,2018-03-15,负,主,黄蜂129-117老鹰,46.7%,42,90,44.4%,16,36,65.4%,17,26,46,6,40,30,5,2,11,27,117
2502,亚特兰大老鹰,2018-03-17,负,客,雄鹿122-117老鹰,45.9%,39,85,33.3%,12,36,96.4%,27,28,44,8,36,23,7,4,19,25,117
2503,亚特兰大老鹰,2018-03-20,胜,客,爵士94-99老鹰,40.4%,38,94,27.3%,9,33,73.7%,14,19,52,11,41,21,7,3,13,23,99
2504,亚特兰大老鹰,2018-03-22,负,客,国王105-90老鹰,39.3%,33,84,33.3%,12,36,66.7%,12,18,40,6,34,19,7,2,12,10,90
2505,亚特兰大老鹰,2018-03-23,负,客,勇士106-94老鹰,44.0%,37,84,34.4%,11,32,45.0%,9,20,44,5,39,24,5,5,11,14,94
2506,亚特兰大老鹰,2018-03-25,负,客,火箭118-99老鹰,44.3%,39,88,27.5%,11,40,90.9%,10,11,45,7,38,18,5,2,13,14,99
2507,亚特兰大老鹰,2018-03-28,负,客,森林狼126-114老鹰,53.2%,41,77,48.1%,13,27,82.6%,19,23,37,4,33,26,10,2,20,22,114
2508,亚特兰大老鹰,2018-03-30,负,主," 76人101-91老鹰",35.6%,36,101,23.1%,9,39,66.7%,10,15,59,15,44,24,9,4,16,14,91
2509,亚特兰大老鹰,2018-04-01,胜,主,魔术88-94老鹰,48.2%,41,85,30.6%,11,36,100.0%,1,1,52,5,47,33,0,3,14,15,94
2510,亚特兰大老鹰,2018-04-03,负,客,热火101-98老鹰,42.0%,37,88,39.4%,13,33,73.3%,11,15,49,12,37,24,10,1,15,15,98
2511,亚特兰大老鹰,2018-04-04,负,主,热火115-86老鹰,36.7%,33,90,30.0%,9,30,64.7%,11,17,48,10,38,20,5,6,15,16,86
2512,亚特兰大老鹰,2018-04-06,胜,客,奇才97-103老鹰,48.1%,38,79,33.3%,11,33,69.6%,16,23,50,7,43,24,5,5,18,22,103
2513,亚特兰大老鹰,2018-04-08,胜,客,凯尔特106-112老鹰,50.0%,43,86,42.9%,15,35,78.6%,11,14,37,5,32,23,7,4,13,19,112
2514,亚特兰大老鹰,2018-04-10,负,主," 76人121-113老鹰",41.8%,41,98,35.1%,13,37,69.2%,18,26,39,8,31,27,10,3,10,24,113
2515,丹佛掘金,2017-10-18,负,客,爵士106-96掘金,46.8%,36,77,48.1%,13,27,91.7%,11,12,38,7,31,21,4,3,20,18,96
2516,丹佛掘金,2017-10-21,胜,主,国王79-96掘金,43.5%,37,85,33.3%,10,30,60.0%,12,20,58,18,40,25,7,2,16,19,96
2517,丹佛掘金,2017-10-23,负,主,奇才109-104掘金,48.8%,39,80,34.8%,8,23,78.3%,18,23,44,9,35,27,5,2,23,22,104
2518,丹佛掘金,2017-10-25,负,客,黄蜂110-93掘金,38.4%,38,99,25.8%,8,31,60.0%,9,15,50,17,33,18,6,1,13,23,93
2519,丹佛掘金,2017-10-27,胜,客,老鹰100-105掘金,46.2%,42,91,20.0%,4,20,73.9%,17,23,46,11,35,24,8,4,11,12,105
2520,丹佛掘金,2017-10-29,胜,客,篮网111-124掘金,50.5%,47,93,55.0%,11,20,86.4%,19,22,46,4,42,23,7,7,6,21,124
2521,丹佛掘金,2017-10-30,负,客,尼克斯116-110掘金,41.2%,35,85,43.9%,18,41,71.0%,22,31,36,13,23,20,13,5,13,22,110
2522,丹佛掘金,2017-11-01,胜,主,猛龙111-129掘金,53.4%,47,88,50.0%,16,32,65.5%,19,29,43,9,34,35,9,4,12,20,129
2523,丹佛掘金,2017-11-03,胜,主,热火94-95掘金,45.0%,36,80,39.1%,9,23,56.0%,14,25,41,13,28,17,9,6,17,16,95
2524,丹佛掘金,2017-11-04,负,主,勇士127-108掘金,46.0%,40,87,25.0%,6,24,81.5%,22,27,46,9,37,26,9,6,17,18,108
2525,丹佛掘金,2017-11-07,胜,主,篮网104-112掘金,47.8%,44,92,27.3%,9,33,75.0%,15,20,47,9,38,26,16,9,19,21,112
2526,丹佛掘金,2017-11-09,胜,主,雷霆94-102掘金,46.3%,38,82,33.3%,9,27,77.3%,17,22,45,14,31,27,7,7,19,15,102
2527,丹佛掘金,2017-11-11,胜,主,魔术107-125掘金,52.9%,46,87,41.4%,12,29,77.8%,21,27,50,13,37,29,9,4,12,16,125
2528,丹佛掘金,2017-11-13,负,客,开拓者99-82掘金,35.7%,30,84,28.1%,9,32,86.7%,13,15,35,12,23,13,9,2,20,16,82
2529,丹佛掘金,2017-11-17,胜,主,鹈鹕114-146掘金,62.9%,56,89,51.4%,18,35,76.2%,16,21,48,13,35,37,5,4,14,15,146
2530,丹佛掘金,2017-11-19,负,客,湖人127-109掘金,42.9%,36,84,41.9%,13,31,68.6%,24,35,47,17,30,18,8,8,21,15,109
2531,丹佛掘金,2017-11-20,胜,客,国王98-114掘金,48.8%,42,86,46.9%,15,32,75.0%,15,20,49,14,35,18,6,3,13,13,114
2532,丹佛掘金,2017-11-22,负,客,火箭125-95掘金,40.2%,35,87,30.3%,10,33,65.2%,15,23,43,15,28,19,11,5,19,14,95
2533,丹佛掘金,2017-11-24,胜,主,灰熊92-104掘金,50.6%,40,79,28.1%,9,32,57.7%,15,26,50,15,35,24,9,4,21,18,104
2534,丹佛掘金,2017-11-28,负,客,爵士106-77掘金,35.9%,28,78,20.6%,7,34,87.5%,14,16,42,12,30,13,6,4,17,13,77
2535,丹佛掘金,2017-11-30,胜,主,公牛110-111掘金,45.8%,38,83,38.7%,12,31,74.2%,23,31,44,11,33,22,7,4,12,19,111
2536,丹佛掘金,2017-12-02,胜,主,湖人100-115掘金,46.0%,40,87,38.7%,12,31,82.1%,23,28,39,9,30,26,8,6,12,19,115
2537,丹佛掘金,2017-12-04,负,客,独行侠122-105掘金,41.8%,38,91,38.9%,14,36,65.2%,15,23,49,15,34,25,5,5,7,19,105
2538,丹佛掘金,2017-12-06,负,客,鹈鹕123-114掘金,43.6%,41,94,45.7%,16,35,72.7%,16,22,40,10,30,22,7,4,9,21,114
2539,丹佛掘金,2017-12-08,胜,客,魔术89-103掘金,49.4%,42,85,28.6%,6,21,81.3%,13,16,44,6,38,21,7,7,12,20,103
2540,丹佛掘金,2017-12-10,负,客,步行者126-116掘金,45.3%,43,95,40.5%,17,42,76.5%,13,17,47,19,28,24,7,5,21,20,116
2541,丹佛掘金,2017-12-12,胜,客,活塞84-103掘金,50.6%,40,79,33.3%,10,30,92.9%,13,14,44,6,38,27,8,3,17,15,103
2542,丹佛掘金,2017-12-13,负,客,凯尔特124-118掘金,49.5%,45,91,32.1%,9,28,73.1%,19,26,48,20,28,22,8,4,15,20,118
2543,丹佛掘金,2017-12-15,胜,主,鹈鹕111-117掘金,46.0%,46,100,44.4%,16,36,64.3%,9,14,48,11,37,30,12,4,15,17,117
2544,丹佛掘金,2017-12-18,负,客,雷霆95-94掘金,43.0%,37,86,32.4%,12,37,66.7%,8,12,45,8,37,21,8,3,11,18,94
2545,丹佛掘金,2017-12-20,负,主,森林狼112-104掘金,50.0%,36,72,46.4%,13,28,79.2%,19,24,42,8,34,27,6,5,21,18,104
2546,丹佛掘金,2017-12-22,胜,客,开拓者85-102掘金,49.4%,42,85,28.0%,7,25,68.8%,11,16,49,16,33,19,4,10,14,13,102
2547,丹佛掘金,2017-12-23,胜,客,勇士81-96掘金,46.3%,38,82,25.0%,7,28,86.7%,13,15,45,10,35,25,10,4,18,14,96
2548,丹佛掘金,2017-12-26,胜,主,爵士83-107掘金,48.1%,39,81,36.7%,11,30,81.8%,18,22,53,10,43,23,3,1,9,21,107
2549,丹佛掘金,2017-12-27,负,客,森林狼128-125掘金,46.2%,42,91,38.5%,15,39,83.9%,26,31,48,11,37,26,3,2,9,24,125
2550,丹佛掘金,2017-12-30,负,主," 76人107-102掘金",40.2%,35,87,21.9%,7,32,73.5%,25,34,48,10,38,18,10,9,13,12,102
