" ",球队,时间,果,场,比赛,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1312,底特律活塞,2017-11-10,胜,主,老鹰104-111活塞,43.8%,39,89,40.0%,12,30,77.8%,21,27,51,20,31,23,7,5,17,18,111
1313,底特律活塞,2017-11-12,胜,主,热火103-112活塞,48.3%,42,87,50.0%,14,28,70.0%,14,20,54,11,43,24,2,5,13,17,112
1314,底特律活塞,2017-11-15,负,客,雄鹿99-95活塞,35.3%,30,85,40.5%,15,37,87.0%,20,23,45,17,28,23,7,3,16,20,95
1315,底特律活塞,2017-11-17,负,客,步行者107-100活塞,41.9%,39,93,42.4%,14,33,80.0%,8,10,43,11,32,20,4,8,11,18,100
1316,底特律活塞,2017-11-19,胜,客,森林狼97-100活塞,47.0%,39,83,32.0%,8,25,70.0%,14,20,37,11,26,25,10,2,19,21,100
1317,底特律活塞,2017-11-20,负,主,骑士116-88活塞,44.2%,34,77,43.3%,13,30,53.8%,7,13,34,7,27,23,7,2,14,19,88
1318,底特律活塞,2017-11-24,胜,客,雷霆98-99活塞,46.4%,39,84,37.8%,14,37,77.8%,7,9,43,8,35,22,6,5,20,17,99
1319,底特律活塞,2017-11-27,胜,客,凯尔特108-118活塞,51.8%,44,85,44.0%,11,25,82.6%,19,23,40,8,32,26,8,2,8,19,118
1320,底特律活塞,2017-11-29,胜,主,太阳107-131活塞,57.3%,51,89,46.4%,13,28,76.2%,16,21,44,5,39,31,11,6,19,22,131
1321,底特律活塞,2017-12-01,负,客,奇才109-91活塞,44.3%,35,79,30.0%,9,30,63.2%,12,19,32,4,28,20,7,5,15,21,91
1322,底特律活塞,2017-12-02,负,客," 76人108-103活塞",43.6%,34,78,29.0%,9,31,81.3%,26,32,36,7,29,20,8,2,16,27,103
1323,底特律活塞,2017-12-04,负,客,马刺96-93活塞,41.2%,35,85,29.6%,8,27,62.5%,15,24,42,7,35,15,8,2,10,22,93
1324,底特律活塞,2017-12-06,负,客,雄鹿104-100活塞,41.4%,36,87,33.3%,10,30,66.7%,18,27,45,16,29,20,5,0,10,20,100
1325,底特律活塞,2017-12-08,负,主,勇士102-98活塞,41.3%,38,92,44.4%,12,27,52.6%,10,19,49,15,34,20,8,2,11,17,98
1326,底特律活塞,2017-12-10,负,主,凯尔特91-81活塞,33.3%,28,84,30.3%,10,33,78.9%,15,19,46,11,35,14,7,4,9,16,81
1327,底特律活塞,2017-12-12,负,主,掘金103-84活塞,35.4%,28,79,36.0%,9,25,86.4%,19,22,40,11,29,17,7,2,20,16,84
